Date,Pool,0 - 10,11 - 17,18 - 59,+60,Total
2018-08-20,Lincoln,0,0.0,0.0,0.0,0.0
2018-08-20,Monterrey,29,70.0,34.0,2.0,135.0
2018-08-20,New Territories,59,35.0,57.0,4.0,155.0
2018-08-20,Normoyle,0,0.0,0.0,0.0,0.0
2018-08-20,Roosevelt,0,0.0,0.0,0.0,0.0
2018-08-20,San Pedro,0,0.0,0.0,0.0,0.0
2018-08-20,Spring Time,60,34.0,46.0,6.0,146.0
2018-08-20,S.S. Lions,99,68.0,131.0,5.0,303.0
2018-08-20,South Cross,76,63.0,82.0,6.0,227.0
2018-08-20,Sunset Hills,59,34.0,68.0,5.0,166.0
2018-08-20,Westwood ,68,37.0,49.0,7.0,161.0
2018-08-20,Woodlawn,559,584.0,685.0,103.0,1931.0
2018-08-27,Cassiano,0,0.0,0.0,0.0,0.0
2018-08-27,Concepcion,0,0.0,0.0,0.0,0.0
2018-08-27,Cuellar,0,0.0,0.0,0.0,0.0
2018-08-27,Dellview,0,0.0,0.0,0.0,0.0
2018-08-27,Elmendorf,0,0.0,0.0,0.0,0.0
2018-08-27,Fairchild,0,0.0,0.0,0.0,0.0
2018-08-27,Garza,0,0.0,0.0,0.0,0.0
2018-08-27,Heritage,158,51.0,158.0,16.0,383.0
2018-08-27,Ward,0,0.0,0.0,0.0,0.0
2018-08-27,Kennedy,0,0.0,0.0,0.0,0.0
2018-08-27,Kingsborough,0,0.0,0.0,0.0,0.0
2018-08-27,LBJ,123,30.0,100.0,22.0,275.0
2018-08-27,Lincoln,0,0.0,0.0,0.0,0.0
2018-08-27,Monterrey,0,0.0,0.0,0.0,0.0
2018-08-27,New Territories,0,0.0,0.0,0.0,0.0
2018-08-27,Normoyle,0,0.0,0.0,0.0,0.0
2018-08-27,Roosevelt,0,0.0,0.0,0.0,0.0
2018-08-27,San Pedro,0,0.0,0.0,0.0,0.0
2018-08-27,Spring Time,0,0.0,0.0,0.0,0.0
2018-08-27,S.S. Lions,139,125.0,154.0,25.0,443.0
2018-08-27,South Cross,0,0.0,0.0,0.0,0.0
2018-08-27,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-08-27,Westwood ,0,0.0,0.0,0.0,0.0
2018-08-27,Woodlawn,437,345.0,487.0,107.0,1376.0
2018-09-03,Cassiano,0,0,0.0,0.0,0.0
2018-09-03,Concepcion,0,0,0.0,0.0,0.0
2018-09-03,Cuellar,0,0,0.0,0.0,0.0
2018-09-03,Dellview,0,0,0.0,0.0,0.0
2018-09-03,Elmendorf,0,0,0.0,0.0,0.0
2018-09-03,Fairchild,0,0,0.0,0.0,0.0
2018-09-03,Garza,0,0,0.0,0.0,0.0
2018-09-03,Heritage,139,69,140.0,20.0,368.0
2018-09-03,Ward,0,0,0.0,0.0,0.0
2018-09-03,Kennedy,0,0,0.0,0.0,0.0
2018-09-03,Kingsborough,0,0,0.0,0.0,0.0
2018-09-03,LBJ,77,55,122.0,14.0,268.0
2018-09-03,Lincoln,0,0,0.0,0.0,0.0
2018-09-03,Monterrey,0,0,0.0,0.0,0.0
2018-09-03,New Territories,0,0,0.0,0.0,0.0
2018-09-03,Normoyle,0,0,0.0,0.0,0.0
2018-09-03,Roosevelt,0,0,0.0,0.0,0.0
2018-09-03,San Pedro,0,0,0.0,0.0,0.0
2018-09-03,Spring Time,0,0,0.0,0.0,0.0
2018-09-03,S.S. Lions,109,103,132.0,19.0,363.0
2018-09-03,South Cross,0,0,0.0,0.0,0.0
2018-09-03,Sunset Hills,0,0,0.0,0.0,0.0
2018-09-03,Westwood ,0,0,0.0,0.0,0.0
2018-09-03,Woodlawn,304,275,573.0,105.0,1257.0
2018-09-10,Cassiano,0,0,0.0,0.0,0.0
2018-09-10,Concepcion,0,0,0.0,0.0,0.0
2018-09-10,Cuellar,0,0,0.0,0.0,0.0
2018-09-10,Dellview,0,0,0.0,0.0,0.0
2018-09-10,Elmendorf,0,0,0.0,0.0,0.0
2018-09-10,Fairchild,0,0,0.0,0.0,0.0
2018-09-10,Garza,0,0,0.0,0.0,0.0
2018-09-10,Heritage,50,12,36.0,6.0,104.0
2018-09-10,Ward,0,0,0.0,0.0,0.0
2018-09-10,Kennedy,0,0,0.0,0.0,0.0
2018-09-10,Kingsborough,0,0,0.0,0.0,0.0
2018-09-10,LBJ,16,23,19.0,1.0,59.0
2018-09-10,Lincoln,0,0,0.0,0.0,0.0
2018-09-10,Monterrey,0,0,0.0,0.0,0.0
